GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
813477029,SushiGo,3,GAME_OVER,98,0,4,20,BasicMCTS,45.0,22.0,32.0,25.0,mcts,rheaT2,rhea,1,BasicMCTS,1,4,4,2,2,3,mcts,3,rheaT2,rhea,mcts,BasicMCTS,rhea,rheaT2,1
-1466178614,SushiGo,3,GAME_OVER,98,0,4,21,BasicMCTS,53.0,20.0,31.0,24.0,mcts,rheaT2,rhea,1,BasicMCTS,1,4,4,2,2,3,mcts,3,rheaT2,rhea,mcts,BasicMCTS,rhea,rheaT2,1
346665430,SushiGo,3,GAME_OVER,100,0,4,22,BasicMCTS,40.0,31.0,40.0,36.0,mcts,rhea,rheaT2,2,BasicMCTS,2,4,4,1,1,3,mcts,3,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,3
879079583,SushiGo,3,GAME_OVER,99,0,4,23,BasicMCTS,41.0,30.0,26.0,35.0,mcts,rhea,rheaT2,1,BasicMCTS,1,3,3,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
-619666105,SushiGo,3,GAME_OVER,100,0,4,24,BasicMCTS,42.0,37.0,26.0,44.0,mcts,rhea,rheaT2,2,BasicMCTS,2,3,3,4,4,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
503938916,SushiGo,3,GAME_OVER,100,0,4,25,BasicMCTS,30.0,38.0,18.0,45.0,mcts,rhea,rheaT2,3,BasicMCTS,3,2,2,4,4,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
-428737539,SushiGo,3,GAME_OVER,97,0,4,26,BasicMCTS,44.0,21.0,37.0,46.0,mcts,rhea,rheaT2,2,BasicMCTS,2,4,4,3,3,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
-1745970416,SushiGo,3,GAME_OVER,96,0,4,27,BasicMCTS,29.0,38.0,25.0,29.0,mcts,rhea,rheaT2,2,BasicMCTS,2,1,1,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,0
-1436161366,SushiGo,3,GAME_OVER,98,0,4,28,BasicMCTS,38.0,22.0,31.0,54.0,mcts,rhea,rheaT2,2,BasicMCTS,2,4,4,3,3,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
-1151041315,SushiGo,3,GAME_OVER,96,0,4,29,BasicMCTS,44.0,29.0,33.0,39.0,mcts,rhea,rheaT2,1,BasicMCTS,1,4,4,3,3,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
697067980,SushiGo,3,GAME_OVER,96,0,4,30,BasicMCTS,36.0,29.0,39.0,33.0,mcts,rhea,rheaT2,2,BasicMCTS,2,4,4,1,1,3,mcts,3,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,3
1168140970,SushiGo,3,GAME_OVER,98,0,4,31,BasicMCTS,57.0,19.0,41.0,37.0,mcts,rhea,rheaT2,1,BasicMCTS,1,4,4,2,2,3,mcts,3,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
